#options: 624x1076 fps=25/1 timebase=1/25 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=0 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=crf mbtree=1 crf=20.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:25.40 aq:13.48 tex:227388 mv:62058 misc:66 imb:2652 pmb:0 smb:0 d:- ref:;
in:1 out:1 type:P dur:2 cpbdur:2 q:25.40 aq:15.73 tex:2964 mv:896 misc:1244 imb:9 pmb:198 smb:2445 d:- ref:0 ;
in:2 out:2 type:P dur:2 cpbdur:2 q:25.40 aq:19.18 tex:6683 mv:2486 misc:1423 imb:23 pmb:314 smb:2315 d:- ref:0 ;
in:3 out:3 type:P dur:2 cpbdur:2 q:25.40 aq:17.87 tex:14723 mv:3976 misc:1589 imb:39 pmb:436 smb:2177 d:- ref:0 ;
in:4 out:4 type:P dur:2 cpbdur:2 q:25.40 aq:18.05 tex:9791 mv:2412 misc:1373 imb:19 pmb:322 smb:2311 d:- ref:0 ;
in:5 out:5 type:P dur:2 cpbdur:2 q:25.40 aq:18.16 tex:9795 mv:2739 misc:1322 imb:21 pmb:327 smb:2304 d:- ref:0 ;
in:6 out:6 type:P dur:2 cpbdur:2 q:25.40 aq:17.30 tex:9533 mv:3040 misc:1395 imb:27 pmb:362 smb:2263 d:- ref:0 ;
in:7 out:7 type:P dur:2 cpbdur:2 q:25.40 aq:17.55 tex:11720 mv:3411 misc:1445 imb:33 pmb:397 smb:2222 d:- ref:0 ;
in:8 out:8 type:P dur:2 cpbdur:2 q:25.40 aq:17.50 tex:6692 mv:1737 misc:1139 imb:23 pmb:199 smb:2430 d:- ref:0 ;
in:9 out:9 type:P dur:2 cpbdur:2 q:25.40 aq:17.43 tex:6434 mv:1817 misc:1141 imb:22 pmb:221 smb:2409 d:- ref:0 ;
in:10 out:10 type:P dur:2 cpbdur:2 q:25.40 aq:18.20 tex:7187 mv:1895 misc:1158 imb:19 pmb:233 smb:2400 d:- ref:0 ;
in:11 out:11 type:P dur:2 cpbdur:2 q:25.40 aq:16.56 tex:1051 mv:298 misc:635 imb:9 pmb:50 smb:2593 d:- ref:0 ;
in:12 out:12 type:P dur:2 cpbdur:2 q:25.40 aq:18.20 tex:10914 mv:3808 misc:1486 imb:40 pmb:418 smb:2194 d:- ref:0 ;
in:13 out:13 type:P dur:2 cpbdur:2 q:25.40 aq:18.32 tex:7417 mv:2634 misc:1413 imb:25 pmb:314 smb:2313 d:- ref:0 ;
in:14 out:14 type:P dur:2 cpbdur:2 q:25.40 aq:19.11 tex:8822 mv:2733 misc:1293 imb:25 pmb:331 smb:2296 d:- ref:0 ;
in:15 out:15 type:P dur:2 cpbdur:2 q:25.40 aq:17.89 tex:9248 mv:2561 misc:1223 imb:32 pmb:299 smb:2321 d:- ref:0 ;
in:16 out:16 type:P dur:2 cpbdur:2 q:25.40 aq:17.62 tex:14109 mv:3618 misc:1409 imb:31 pmb:380 smb:2241 d:- ref:0 ;
in:17 out:17 type:P dur:2 cpbdur:2 q:25.40 aq:19.00 tex:7313 mv:2090 misc:1157 imb:13 pmb:254 smb:2385 d:- ref:0 ;
in:18 out:18 type:P dur:2 cpbdur:2 q:25.40 aq:19.45 tex:8257 mv:2220 misc:1211 imb:18 pmb:272 smb:2362 d:- ref:0 ;
in:19 out:19 type:P dur:2 cpbdur:2 q:25.40 aq:16.05 tex:1048 mv:279 misc:649 imb:7 pmb:55 smb:2590 d:- ref:0 ;
in:20 out:20 type:P dur:2 cpbdur:2 q:25.40 aq:17.37 tex:18280 mv:3959 misc:1433 imb:51 pmb:405 smb:2196 d:- ref:0 ;
in:21 out:21 type:P dur:2 cpbdur:2 q:25.40 aq:18.73 tex:9554 mv:2330 misc:1276 imb:15 pmb:292 smb:2345 d:- ref:0 ;
in:22 out:22 type:P dur:2 cpbdur:2 q:25.40 aq:18.49 tex:9864 mv:2383 misc:1249 imb:28 pmb:281 smb:2343 d:- ref:0 ;
in:23 out:23 type:P dur:2 cpbdur:2 q:25.40 aq:17.42 tex:1269 mv:304 misc:651 imb:5 pmb:62 smb:2585 d:- ref:0 ;
in:24 out:24 type:P dur:2 cpbdur:2 q:25.40 aq:18.76 tex:11922 mv:3224 misc:1470 imb:45 pmb:344 smb:2263 d:- ref:0 ;
in:25 out:25 type:P dur:2 cpbdur:2 q:25.40 aq:19.61 tex:7874 mv:1951 misc:1159 imb:13 pmb:235 smb:2404 d:- ref:0 ;
in:26 out:26 type:P dur:2 cpbdur:2 q:25.40 aq:17.88 tex:9779 mv:2369 misc:1308 imb:29 pmb:291 smb:2332 d:- ref:0 ;
in:27 out:27 type:P dur:2 cpbdur:2 q:25.40 aq:15.29 tex:916 mv:236 misc:560 imb:5 pmb:46 smb:2601 d:- ref:0 ;
in:28 out:28 type:P dur:2 cpbdur:2 q:25.40 aq:19.20 tex:18588 mv:5103 misc:1573 imb:53 pmb:485 smb:2114 d:- ref:0 ;
in:29 out:29 type:P dur:2 cpbdur:2 q:25.40 aq:19.47 tex:13004 mv:3863 misc:1485 imb:29 pmb:427 smb:2196 d:- ref:0 ;
in:30 out:30 type:P dur:2 cpbdur:2 q:25.40 aq:18.84 tex:8704 mv:2091 misc:1125 imb:13 pmb:237 smb:2402 d:- ref:0 ;
in:31 out:31 type:P dur:2 cpbdur:2 q:25.40 aq:16.46 tex:934 mv:226 misc:568 imb:5 pmb:42 smb:2605 d:- ref:0 ;
in:32 out:32 type:P dur:2 cpbdur:2 q:25.40 aq:13.90 tex:145636 mv:19606 misc:2798 imb:793 pmb:1534 smb:325 d:- ref:0 ;
in:33 out:33 type:P dur:2 cpbdur:2 q:25.40 aq:16.66 tex:15639 mv:3813 misc:2172 imb:28 pmb:635 smb:1989 d:- ref:0 ;
in:34 out:34 type:P dur:2 cpbdur:2 q:25.40 aq:16.51 tex:15244 mv:3231 misc:1797 imb:28 pmb:485 smb:2139 d:- ref:0 ;
in:35 out:35 type:P dur:2 cpbdur:2 q:25.40 aq:14.91 tex:3489 mv:760 misc:1255 imb:11 pmb:178 smb:2463 d:- ref:0 ;
in:36 out:36 type:P dur:2 cpbdur:2 q:25.40 aq:13.47 tex:1998 mv:464 misc:962 imb:10 pmb:114 smb:2528 d:- ref:0 ;
in:37 out:37 type:P dur:2 cpbdur:2 q:25.40 aq:16.57 tex:29711 mv:6259 misc:2086 imb:132 pmb:681 smb:1839 d:- ref:0 ;
in:38 out:38 type:P dur:2 cpbdur:2 q:25.40 aq:17.19 tex:12343 mv:3224 misc:1793 imb:36 pmb:446 smb:2170 d:- ref:0 ;
in:39 out:39 type:P dur:2 cpbdur:2 q:25.40 aq:17.24 tex:12606 mv:3052 misc:1670 imb:38 pmb:400 smb:2214 d:- ref:0 ;
in:40 out:40 type:P dur:2 cpbdur:2 q:25.40 aq:13.94 tex:2408 mv:538 misc:1030 imb:13 pmb:122 smb:2517 d:- ref:0 ;
in:41 out:41 type:P dur:2 cpbdur:2 q:25.40 aq:17.22 tex:21424 mv:4998 misc:1842 imb:41 pmb:564 smb:2047 d:- ref:0 ;
in:42 out:42 type:P dur:2 cpbdur:2 q:25.40 aq:17.16 tex:12366 mv:2924 misc:1702 imb:32 pmb:406 smb:2214 d:- ref:0 ;
in:43 out:43 type:P dur:2 cpbdur:2 q:25.40 aq:17.34 tex:12865 mv:2921 misc:1598 imb:28 pmb:385 smb:2239 d:- ref:0 ;
in:44 out:44 type:P dur:2 cpbdur:2 q:25.40 aq:14.41 tex:2670 mv:674 misc:1064 imb:15 pmb:136 smb:2501 d:- ref:0 ;
in:45 out:45 type:P dur:2 cpbdur:2 q:25.40 aq:16.44 tex:27329 mv:5977 misc:1942 imb:92 pmb:631 smb:1929 d:- ref:0 ;
in:46 out:46 type:P dur:2 cpbdur:2 q:25.40 aq:16.25 tex:11840 mv:2619 misc:1509 imb:39 pmb:347 smb:2266 d:- ref:0 ;
in:47 out:47 type:P dur:2 cpbdur:2 q:25.40 aq:17.89 tex:11082 mv:2524 misc:1514 imb:20 pmb:364 smb:2268 d:- ref:0 ;
in:48 out:48 type:P dur:2 cpbdur:2 q:25.40 aq:15.27 tex:2332 mv:533 misc:967 imb:15 pmb:103 smb:2534 d:- ref:0 ;
in:49 out:49 type:P dur:2 cpbdur:2 q:25.40 aq:17.65 tex:18324 mv:4687 misc:1765 imb:40 pmb:569 smb:2043 d:- ref:0 ;
in:50 out:50 type:P dur:2 cpbdur:2 q:25.40 aq:15.28 tex:2363 mv:578 misc:1027 imb:7 pmb:136 smb:2509 d:- ref:0 ;
in:51 out:51 type:P dur:2 cpbdur:2 q:25.40 aq:17.23 tex:11900 mv:3129 misc:1499 imb:44 pmb:341 smb:2267 d:- ref:0 ;
in:52 out:52 type:P dur:2 cpbdur:2 q:25.40 aq:17.33 tex:13287 mv:3283 misc:1550 imb:40 pmb:389 smb:2223 d:- ref:0 ;
in:53 out:53 type:P dur:2 cpbdur:2 q:25.40 aq:17.24 tex:16209 mv:3844 misc:1587 imb:37 pmb:470 smb:2145 d:- ref:0 ;
in:54 out:54 type:P dur:2 cpbdur:2 q:25.40 aq:15.91 tex:1945 mv:497 misc:1006 imb:6 pmb:117 smb:2529 d:- ref:0 ;
in:55 out:55 type:P dur:2 cpbdur:2 q:25.40 aq:17.71 tex:15128 mv:4237 misc:1571 imb:52 pmb:469 smb:2131 d:- ref:0 ;
in:56 out:56 type:P dur:2 cpbdur:2 q:25.40 aq:18.14 tex:8590 mv:2634 misc:1448 imb:16 pmb:358 smb:2278 d:- ref:0 ;
in:57 out:57 type:P dur:2 cpbdur:2 q:25.40 aq:17.90 tex:16202 mv:3411 misc:1531 imb:43 pmb:409 smb:2200 d:- ref:0 ;
in:58 out:58 type:P dur:2 cpbdur:2 q:25.40 aq:16.91 tex:2044 mv:521 misc:907 imb:9 pmb:113 smb:2530 d:- ref:0 ;
in:59 out:59 type:P dur:2 cpbdur:2 q:25.40 aq:17.84 tex:14557 mv:3243 misc:1488 imb:37 pmb:395 smb:2220 d:- ref:0 ;
in:60 out:60 type:P dur:2 cpbdur:2 q:25.40 aq:18.85 tex:8825 mv:2287 misc:1440 imb:15 pmb:331 smb:2306 d:- ref:0 ;
in:61 out:61 type:P dur:2 cpbdur:2 q:25.40 aq:18.00 tex:1503 mv:466 misc:887 imb:9 pmb:94 smb:2549 d:- ref:0 ;
in:62 out:62 type:P dur:2 cpbdur:2 q:25.40 aq:19.28 tex:12834 mv:3401 misc:1485 imb:29 pmb:391 smb:2232 d:- ref:0 ;
in:63 out:63 type:P dur:2 cpbdur:2 q:25.40 aq:16.76 tex:1537 mv:344 misc:799 imb:8 pmb:76 smb:2568 d:- ref:0 ;
in:64 out:64 type:P dur:2 cpbdur:2 q:25.40 aq:18.90 tex:8641 mv:2113 misc:1302 imb:32 pmb:249 smb:2371 d:- ref:0 ;
in:65 out:65 type:P dur:2 cpbdur:2 q:25.40 aq:13.49 tex:185421 mv:21148 misc:2799 imb:992 pmb:1466 smb:194 d:- ref:0 ;
in:66 out:66 type:P dur:2 cpbdur:2 q:25.40 aq:15.24 tex:20767 mv:4215 misc:2250 imb:54 pmb:687 smb:1911 d:- ref:0 ;
in:67 out:67 type:P dur:2 cpbdur:2 q:25.40 aq:12.91 tex:5278 mv:997 misc:1389 imb:18 pmb:221 smb:2413 d:- ref:0 ;
in:68 out:68 type:P dur:2 cpbdur:2 q:25.40 aq:15.93 tex:14406 mv:3013 misc:1717 imb:63 pmb:379 smb:2210 d:- ref:0 ;
in:69 out:69 type:P dur:2 cpbdur:2 q:25.40 aq:16.56 tex:8305 mv:1969 misc:1414 imb:28 pmb:285 smb:2339 d:- ref:0 ;
in:70 out:70 type:P dur:2 cpbdur:2 q:25.40 aq:16.16 tex:14678 mv:3709 misc:1645 imb:40 pmb:475 smb:2137 d:- ref:0 ;
in:71 out:71 type:P dur:2 cpbdur:2 q:25.40 aq:14.36 tex:2566 mv:595 misc:1047 imb:12 pmb:131 smb:2509 d:- ref:0 ;
in:72 out:72 type:P dur:2 cpbdur:2 q:25.40 aq:15.31 tex:13130 mv:3454 misc:1624 imb:53 pmb:398 smb:2201 d:- ref:0 ;
in:73 out:73 type:P dur:2 cpbdur:2 q:25.40 aq:16.10 tex:7188 mv:1876 misc:1328 imb:38 pmb:240 smb:2374 d:- ref:0 ;
